taxon_key,taxon_name,common_name,eez_name,eez_neighbour,n_ens,emerging_yr,Tresh
600006,Coryphaena hippurus,Common dolphinfish,Cuba,Bahamas,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Bahamas,Cuba,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Cuba,Bahamas,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Bahamas,Cuba,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Haiti,Bahamas,10,2031,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Bahamas,Haiti,10,2031,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Turks & Caicos Isl. (UK),Bahamas,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Bahamas,Turks & Caicos Isl. (UK),10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Turks & Caicos Isl. (UK),Bahamas,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Bahamas,Turks & Caicos Isl. (UK),10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,USA (East Coast),Bahamas,10,2032,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Bahamas,USA (East Coast),10,2032,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Guyana,Barbados,10,2015,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Guyana,10,2015,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Guyana,Barbados,10,2030,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Guyana,10,2030,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Martinique (France),Barbados,10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Martinique (France),10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Martinique (France),Barbados,10,2027,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Martinique (France),10,2027,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Saint Lucia,Barbados,10,2020,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Saint Lucia,10,2020,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Saint Lucia,Barbados,10,2067,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Saint Lucia,10,2067,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Saint Vincent & the Grenadines,Barbados,10,2018,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Saint Vincent & the Grenadines,10,2018,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Trinidad & Tobago,Barbados,10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Trinidad & Tobago,10,2013,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Venezuela,Barbados,10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Venezuela,10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Venezuela,Barbados,10,2025,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Barbados,Venezuela,10,2025,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Togo,Benin,10,2027,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Benin,Togo,10,2027,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Togo,Benin,10,2075,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Benin,Togo,10,2075,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Venezuela,Bonaire (Netherlands),10,2056,Tresh_one
