eez_name,eez_neighbour,variable,early,historical,mid,per_early,per_mid,per_mid_plot,per_early_plot
Anguilla (UK),Antigua & Barbuda,min_eez,0.3621808746808747,0.38857954802399247,0.375125,-6.79,-3.46,-3.46,-6.79
Anguilla (UK),Antigua & Barbuda,n_spp,28,28,28,0,0,0,0
Anguilla (UK),Antigua & Barbuda,sd_eez,0.09743123344555467,0.0811764359486809,0.09150266028835258,20.02,12.72,12.72,20.02
Anguilla (UK),British Virgin Isl. (UK),max_eez,0.5375,0.5808333333333333,0.5375,-7.46,-7.46,-7.46,-7.46
Anguilla (UK),British Virgin Isl. (UK),mean_eez,0.5064054545212049,0.5098699550831405,0.5060825744258133,-0.68,-0.74,-0.74,-0.68
Anguilla (UK),British Virgin Isl. (UK),min_eez,0.4688333333333333,0.45736485222596335,0.4514448051948052,2.51,-1.29,-1.29,2.51
Anguilla (UK),British Virgin Isl. (UK),n_spp,20,20,20,0,0,0,0
Anguilla (UK),British Virgin Isl. (UK),sd_eez,0.013235555450405407,0.02137297081334258,0.01624237519517253,-38.07,-24.01,-24.01,-38.07
Anguilla (UK),Saba & Sint Eustaius (Netherlands),max_eez,0.8438459814695108,0.8566781783938646,0.8481102564102564,-1.5,-1,-1,-1.5
Anguilla (UK),Saba & Sint Eustaius (Netherlands),mean_eez,0.5706110083605649,0.589640042749601,0.5690937481155787,-3.23,-3.48,-3.48,-3.23
Anguilla (UK),Saba & Sint Eustaius (Netherlands),min_eez,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0
Anguilla (UK),Saba & Sint Eustaius (Netherlands),n_spp,20,20,20,0,0,0,0
Anguilla (UK),Saba & Sint Eustaius (Netherlands),sd_eez,0.1794981251905562,0.17971572006360045,0.1797456456435229,-0.12,0.02,0.02,-0.12
Anguilla (UK),Saint Martin (France),max_eez,0.9402608695652175,0.9537930024886547,0.9437984189723321,-1.42,-1.05,-1.05,-1.42
Anguilla (UK),Saint Martin (France),mean_eez,0.5786933357123254,0.6004826076007912,0.5761001254783863,-3.63,-4.06,-4.06,-3.63
